编号,头像,生命成长,无用,名字,外号,性别,等级,经验,生命,生命最大值,内伤,中毒,体力,物品修炼点数,武器,防具,动作帧数1,动作帧数2,动作帧数3,动作帧数4,动作帧数5,动作帧数6,动作帧数7,动作帧数8,动作帧数9,动作帧数10,动作帧数11,动作帧数12,动作帧数13,动作帧数14,动作帧数15,内力性质,内力,内力最大值,攻击力,轻功,防御力,医疗,用毒,解毒,抗毒,拳掌,御剑,耍刀,特殊,暗器,武学常识,品德,攻击带毒,左右互搏,声望,资质,修炼物品,修炼点数,所会武功1,所会武功2,所会武功3,所会武功4,所会武功5,所会武功6,所会武功7,所会武功8,所会武功9,所会武功10,武功等级1,武功等级2,武功等级3,武功等级4,武功等级5,武功等级6,武功等级7,武功等级8,武功等级9,武功等级10,携带物品1,携带物品2,携带物品3,携带物品4,携带物品数量1,携带物品数量2,携带物品数量3,携带物品数量4
10,10,0,1,范遙,光明右使,0,19,0,600,600,0,0,90,0,-1,-1,0,11,0,0,0,0,9,0,0,0,0,7,0,0,0,0,2000,2000,120,100,100,0,0,0,0,75,0,0,0,30,0,50,0,0,0,50,-1,0,13,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,9,-1,6,6,10,0
11,11,0,1,楊逍,光明左使,0,16,0,508,508,0,0,90,0,-1,-1,0,0,10,0,0,0,0,8,0,0,0,0,6,0,0,0,850,850,105,86,75,0,0,0,0,0,75,0,0,30,0,50,0,0,0,60,-1,0,38,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,7,22,15,-1,6,6,10,0
12,12,0,1,殷天正,白眉鷹王,0,17,0,375,375,0,0,90,0,-1,-1,0,9,0,0,0,0,9,0,0,0,0,6,0,0,0,1,800,800,110,80,80,0,0,0,0,60,10,10,10,10,10,50,0,0,0,60,-1,0,4,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,6,22,14,-1,6,6,10,0
13,13,0,1,謝遜,金毛獅王,0,23,0,600,600,0,0,90,0,-1,-1,0,9,0,0,9,0,8,0,0,7,0,4,0,0,5,1,2000,2000,150,100,100,0,0,0,0,60,10,10,10,10,10,50,0,0,0,60,-1,0,92,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,5,-1,-1,6,6,6,10
14,14,0,1,韋一笑,青翼蝠王,0,15,0,300,300,0,0,90,0,-1,-1,0,12,0,0,0,0,10,0,0,0,0,8,0,0,0,0,630,630,107,170,70,0,0,0,0,50,10,10,10,10,10,50,0,0,0,60,-1,0,5,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,4,22,12,-1,6,6,10,0
15,15,0,1,金花婆婆,紫衫龍王,0,14,0,500,500,0,0,90,0,-1,-1,0,0,0,0,14,0,0,0,0,12,0,0,0,0,10,0,1500,1500,130,90,100,0,0,0,0,10,10,10,10,70,10,50,0,0,0,60,-1,0,75,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,9,4,12,5,6,6,5
16,16,0,0,胡青牛,蝶谷醫仙,0,5,400,380,380,0,0,92,0,-1,-1,13,7,0,0,0,10,4,0,0,0,0,2,0,0,0,1,170,170,28,57,21,81,0,62,34,21,0,0,0,5,10,40,0,0,0,38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,-1,-1,-1,1,0,0,0
17,17,0,0,王難姑,毒仙,1,4,400,268,268,0,0,92,0,-1,-1,10,7,0,0,0,7,7,0,0,0,0,2,0,0,0,0,180,180,19,53,26,22,82,77,83,21,0,0,0,0,10,25,0,0,0,31,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,-1,-1,-1,0,0,0,0
18,18,0,1,成崑,混元霹靂手,0,35,0,800,800,0,0,90,0,-1,-1,0,12,0,0,0,0,10,0,0,0,0,8,0,0,0,0,4000,4000,230,140,200,0,0,0,0,90,10,10,10,10,10,50,50,0,0,60,-1,0,19,90,0,0,0,0,0,0,0,0,900,900,0,0,0,0,0,0,0,0,9,2,6,13,5,5,5,5
19,19,0,1,岳不群,君子劍,0,16,0,600,600,0,0,90,0,-1,-1,0,0,14,0,0,0,0,11,0,0,0,0,3,0,0,1,2000,2000,150,100,100,0,0,0,0,10,90,10,10,50,10,10,0,0,0,70,-1,0,34,89,0,0,0,0,0,0,0,0,900,700,0,0,0,0,0,0,0,0,5,1,12,-1,10,5,5,5
20,20,0,1,莫大,夜雨蕭湘,0,14,0,650,650,0,0,90,0,-1,-1,0,0,10,0,0,0,0,9,0,0,0,0,7,0,0,1,1750,1750,130,90,100,0,0,0,30,10,86,10,10,68,10,40,0,0,0,45,-1,0,32,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,4,12,11,4,7,10,10
21,21,0,1,定閑,恒山掌門,1,13,0,500,500,0,0,90,0,-1,-1,0,0,14,0,0,0,0,10,0,0,0,0,3,0,0,0,1500,1500,130,90,100,0,0,0,0,10,81,10,10,32,10,77,0,0,0,43,-1,0,30,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,8,12,10,7,2,11,10,3
22,22,0,1,左冷禪,嵩山掌門,0,22,0,600,600,0,0,90,0,-1,-1,0,0,16,0,0,0,0,10,0,0,0,0,7,0,0,0,2000,2000,150,100,100,0,0,0,0,74,88,10,10,54,10,15,0,0,0,80,-1,0,33,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,8,1,4,13,2,3,3,10
23,23,0,1,天門,泰山掌門,0,14,0,500,500,0,0,90,0,-1,-1,0,0,12,0,0,0,0,9,0,0,0,0,1,0,0,1,1500,1500,130,90,100,0,0,0,0,10,84,10,10,43,10,73,0,0,0,60,-1,0,31,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,12,9,5,5,10,10
24,24,0,1,余滄海,青城派掌門,0,10,0,450,450,0,0,90,0,-1,-1,0,0,11,0,0,0,0,5,0,0,0,0,3,0,0,0,1000,1000,110,88,80,0,0,0,0,10,76,10,10,30,10,20,0,0,0,60,-1,0,27,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,11,3,1,32,4,4,1,10
25,25,0,2,藍鳳凰,五毒教主,1,8,0,200,200,0,0,91,0,-1,-1,11,11,0,0,8,7,7,0,0,6,0,2,0,0,2,0,500,500,100,80,65,0,75,62,83,17,8,3,78,53,10,40,80,0,0,72,-1,0,69,78,0,0,0,0,0,0,0,0,999,600,0,0,0,0,0,0,0,0,173,25,9,35,1,1,5,5
26,26,0,1,任我行,任老怪,0,26,0,900,900,0,0,90,0,-1,-1,0,9,0,0,8,0,4,0,0,6,0,3,0,0,0,0,4000,4000,230,140,200,0,0,0,50,84,10,10,10,10,10,25,0,0,0,80,-1,0,21,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,2,6,7,11,2,2,3,5
27,27,0,1,東方不敗,東方不敗,1,50,0,999,999,0,0,90,0,-1,-1,0,12,0,0,0,0,8,0,0,0,0,6,0,0,0,0,5000,5000,230,220,250,0,0,0,0,120,10,10,10,10,10,40,0,1,0,90,-1,0,105,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,2,6,8,11,2,3,2,5
28,28,0,1,平一指,殺人名醫,0,6,0,330,330,0,0,92,0,-1,-1,16,13,0,0,0,12,7,0,0,0,0,5,0,0,0,1,40,40,40,60,40,72,0,54,30,25,0,0,0,0,10,34,0,0,0,30,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,3,12,1,10,10,10
29,29,0,1,田伯光,天下奇男子,0,13,300,432,432,0,0,91,0,-1,-1,0,14,0,14,0,0,8,0,8,0,0,3,0,3,0,0,700,700,96,148,65,0,0,0,0,12,16,57,8,61,10,13,0,0,0,68,-1,0,55,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,161,-1,-1,-1,0,0,0,0
30,55,0,1,郭靖,废物,0,1,100,400,400,0,0,92,0,-1,-1,0,14,0,14,0,0,11,0,11,0,0,9,0,9,0,1,30,30,30,40,20,0,0,0,0,20,20,20,20,10,10,50,0,0,0,30,-1,0,53,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
31,31,0,1,丹青生,江南四友,0,12,0,400,400,0,0,90,0,-1,-1,0,0,11,0,0,0,0,7,0,0,0,0,3,0,0,1,1000,1000,110,82,80,0,0,0,0,10,56,10,10,10,10,50,0,0,0,60,-1,0,38,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,13,0,-1,5,10,5,0
32,32,0,1,禿筆翁,江南四友,0,19,0,500,500,0,0,90,0,-1,-1,0,0,0,0,11,0,0,0,0,7,0,0,0,0,5,1,1500,1500,130,90,100,0,0,0,0,10,10,10,67,10,10,50,0,0,0,60,-1,0,71,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,9,-1,5,5,10,0
33,33,0,1,黑白子,江南四友,0,20,0,500,500,0,0,90,0,-1,-1,0,0,0,0,15,0,0,0,0,8,0,0,0,0,5,1,1500,1500,140,87,100,0,0,0,0,10,10,10,73,10,10,50,0,0,0,60,-1,0,72,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,1,3,-1,4,3,10,0
34,34,0,1,黃鐘公,江南四友,0,23,0,600,600,0,0,90,0,-1,-1,0,0,0,0,13,0,0,0,0,8,0,0,0,0,6,1,2000,2000,150,90,100,0,0,0,0,10,10,10,81,10,10,50,0,0,0,60,-1,0,73,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,0,9,-1,3,3,10,0
35,35,0,1,令狐沖,華山首徒,0,7,200,404,404,0,0,93,0,-1,-1,0,16,16,0,0,0,11,11,0,0,0,8,8,0,0,1,500,500,75,70,83,0,0,0,0,18,53,7,2,23,10,66,0,0,0,80,-1,0,34,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
36,36,0,1,林平之,林少鑣頭,2,6,200,390,390,0,0,91,0,-1,-1,0,13,13,0,0,0,7,7,0,0,0,4,4,0,0,0,350,350,51,63,60,0,0,0,0,12,36,6,3,21,10,21,0,0,0,64,-1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
37,37,0,1,狄云,天下苦命人,0,15,50,500,500,0,0,94,0,-1,-1,0,10,0,10,0,0,4,0,4,0,0,1,0,1,0,0,1200,1200,65,70,100,0,0,0,0,10,20,44,0,14,10,50,0,0,0,23,-1,0,94,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,59,-1,-1,-1,1,0,0,0
38,38,0,1,石破天,狗雜種,0,18,50,800,800,0,0,94,0,-1,-1,0,20,0,0,0,0,16,0,0,0,0,13,0,0,0,2,3000,3000,50,63,100,0,0,0,0,34,0,0,0,5,10,50,0,0,0,22,-1,0,96,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
39,39,0,1,龍島主,俠客島主,0,30,0,900,900,0,0,90,0,-1,-1,0,9,0,0,0,0,4,0,0,0,0,3,0,0,0,1,4000,4000,190,110,150,0,0,0,60,90,90,90,90,90,10,50,0,0,0,60,-1,0,103,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,2,5,8,11,2,2,2,2
40,40,0,1,木島主,俠客島主,0,30,0,900,900,0,0,90,0,-1,-1,0,9,0,0,0,0,9,0,0,0,0,3,0,0,0,1,4000,4000,190,110,140,0,0,0,60,90,90,90,90,90,10,50,0,0,0,60,-1,0,103,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,2,6,11,8,2,2,2,2
41,41,0,1,張三,賞善使者,0,15,0,500,500,0,0,90,0,-1,-1,0,11,0,0,0,0,4,0,0,0,0,3,0,0,0,1,1500,1500,130,90,100,0,0,0,0,70,70,70,70,70,10,50,0,0,0,60,-1,0,103,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,1,4,7,10,2,2,2,2
42,42,0,1,李四,罰惡使者,0,15,0,500,500,0,0,90,0,-1,-1,0,11,0,0,0,0,4,0,0,0,0,3,0,0,0,1,1500,1500,130,90,100,0,0,0,0,70,70,70,70,70,10,50,0,0,0,60,-1,0,103,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,5,10,12,3,2,5,5
43,43,0,1,白萬劍,雪山派掌門,0,9,0,500,500,0,0,90,0,-1,-1,0,0,12,0,0,0,0,10,0,0,0,0,5,0,0,1,1500,1500,130,90,100,0,0,0,30,18,71,10,10,34,10,50,0,0,0,60,-1,0,35,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,7,4,12,9,5,4,10,2
44,44,0,1,岳老三,南海鱷神,0,13,200,500,500,0,0,90,0,-1,-1,0,11,0,0,11,0,6,0,0,6,0,4,0,0,4,1,800,800,90,68,100,0,0,0,0,15,12,11,66,10,10,45,0,0,0,29,-1,0,75,0,0,0,0,0,0,0,0,-1,800,0,0,0,0,0,0,0,0,0,178,52,61,2,1,1,1,2
45,45,0,2,薛慕華,閻王敵,0,5,0,395,395,0,0,91,0,-1,-1,10,10,0,0,0,9,6,0,0,0,0,4,0,0,0,1,350,350,35,55,35,76,0,56,0,31,8,6,0,12,10,50,0,0,0,60,-1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,2,6,8,1,2,2,2
46,46,0,1,丁春秋,星宿老怪,0,24,0,668,668,0,0,90,0,-1,-1,0,13,0,0,9,0,8,0,0,6,0,5,0,0,0,0,3000,3000,160,120,100,0,0,0,100,77,14,15,19,43,10,16,100,0,0,60,-1,0,21,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,4,11,7,10,10,10,3
47,47,0,2,阿紫,星宿小怪,1,5,0,355,355,0,0,92,0,-1,-1,0,11,0,0,0,0,6,0,0,0,0,4,0,0,0,0,300,300,42,90,34,0,55,0,50,44,0,0,0,31,10,32,93,0,0,83,-1,0,5,87,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,66,-1,-1,-1,1,0,0,0
48,48,0,1,游坦之,鐵頭人,0,20,100,600,600,0,0,92,0,-1,-1,0,17,0,0,0,0,11,0,0,0,0,9,0,0,0,2,2500,2500,100,68,87,0,0,0,70,42,11,15,6,17,10,38,94,0,0,61,-1,0,21,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
49,49,0,1,虛竹,小和尚,0,2,0,38,38,0,0,91,0,-1,-1,0,13,0,0,0,0,7,0,0,0,0,5,0,0,0,1,21,21,14,50,50,0,0,0,0,23,8,7,3,6,10,91,0,0,0,45,-1,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
50,50,0,1,喬峰,北喬峰,0,45,0,900,900,0,0,90,0,-1,-1,0,14,0,0,0,0,8,0,0,0,0,5,0,0,0,1,4000,4000,230,110,150,0,0,0,80,130,73,69,35,44,10,90,0,0,0,83,-1,0,26,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,2,6,10,13,3,3,1,10
51,51,0,1,慕容復,南慕容,0,25,1000,580,580,0,0,92,0,-1,-1,0,11,11,0,0,0,6,6,0,0,0,4,4,0,0,0,1800,1800,137,100,161,0,0,0,0,19,91,17,14,52,10,21,0,0,0,84,-1,0,43,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,118,-1,-1,-1,1,0,0,0
52,52,0,1,花鐵干,聾啞老人,0,16,200,508,508,0,0,90,0,-1,-1,0,10,0,0,10,0,4,0,0,4,0,0,0,0,0,1,1200,1200,75,80,72,0,0,0,0,10,10,10,54,54,10,10,0,0,0,70,-1,0,70,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,184,-1,-1,-1,1,0,0,0
53,53,0,2,段譽,大理王子,0,25,0,400,400,0,0,90,0,-1,-1,0,14,14,0,0,0,8,12,0,0,0,6,6,0,0,0,4000,4000,150,170,40,0,0,0,100,23,9,9,7,4,10,50,0,0,0,52,-1,0,49,85,0,0,0,0,0,0,0,0,700,600,0,0,0,0,0,0,0,0,113,64,-1,-1,1,1,0,0
54,54,0,2,袁承志,金蛇傳人,0,18,400,500,500,0,0,91,0,-1,-1,0,9,11,0,0,0,4,7,0,0,0,2,4,0,0,0,1500,1500,93,120,84,0,0,0,0,72,81,15,12,77,10,86,0,0,0,78,-1,0,90,40,0,0,0,0,0,0,0,0,900,900,0,0,0,0,0,0,0,0,121,30,40,-1,1,10,1,0
55,55,0,2,郭靖,北俠,0,25,1200,642,642,0,0,91,0,-1,-1,0,14,0,14,0,0,11,0,11,0,0,9,0,9,0,1,4000,4000,120,80,80,0,0,0,0,100,10,25,12,31,10,99,0,1,0,35,-1,0,26,15,0,0,0,0,0,0,0,0,700,700,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
56,56,0,2,黃蓉,前丐幫幫主,1,20,400,503,503,0,0,91,0,-1,-1,0,9,9,9,9,0,8,8,8,8,0,6,6,6,6,0,1500,1500,82,105,70,0,0,0,0,67,40,35,100,83,10,50,0,0,0,90,-1,0,80,12,0,0,0,0,0,0,0,0,700,400,0,0,0,0,0,0,0,0,20,19,58,-1,2,2,1,0
57,57,0,1,黃藥師,東邪,0,45,0,900,900,0,0,90,0,-1,-1,0,13,0,0,0,0,7,0,0,0,0,5,0,0,0,0,4000,4000,230,150,200,0,0,0,60,93,98,82,77,94,10,35,0,0,0,87,-1,0,18,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,10,5,7,13,10,10,10,10
58,58,0,3,楊過,神鵰大俠,0,20,400,600,600,0,0,91,0,-1,-1,0,13,12,0,0,0,6,5,0,0,0,4,3,0,0,0,3000,3000,120,87,60,0,0,0,0,100,100,12,8,46,10,50,0,0,0,84,-1,0,45,25,95,0,0,0,0,0,0,0,700,600,2,0,0,0,0,0,0,0,87,-1,-1,-1,1,0,0,0
59,59,0,1,小龍女,小龍女,1,20,700,500,500,0,0,91,0,-1,-1,0,9,9,0,0,0,4,4,0,0,0,1,1,0,0,0,1500,1500,75,140,65,0,0,0,30,16,90,13,12,66,10,50,0,1,0,50,-1,0,42,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,119,33,7,-1,1,10,5,0
60,60,0,1,歐陽鋒,西毒,0,29,0,900,900,0,0,90,0,-1,-1,0,18,0,0,0,0,12,0,0,0,0,10,0,0,0,0,4000,4000,180,140,150,0,19,0,89,96,92,91,98,54,10,14,80,0,0,60,-1,0,95,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,11,4,-1,5,3,20,0
61,61,0,1,歐陽克,白陀山少主,0,12,0,308,308,0,0,90,0,-1,-1,0,12,0,0,0,0,6,0,0,0,0,4,0,0,0,0,700,700,64,78,52,0,12,0,60,63,15,13,12,26,10,21,0,0,0,65,-1,0,9,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,4,-1,-1,5,2,0,0
62,62,0,1,金輪法王,金輪法王,0,40,0,900,900,0,0,90,0,-1,-1,0,10,0,0,0,0,5,0,0,0,0,0,0,0,1,1,4000,4000,230,120,200,0,0,0,60,87,78,68,97,24,10,23,0,0,0,60,-1,0,103,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,9,2,4,-1,5,3,3,0
63,63,0,1,程英,東邪弟子,1,6,150,400,400,0,0,91,0,-1,-1,0,14,14,0,0,0,4,4,0,0,0,1,1,0,0,0,400,400,60,66,60,0,0,0,0,18,52,12,11,34,10,70,0,0,0,65,-1,0,38,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,123,-1,-1,-1,1,0,0,0
64,64,0,1,周伯通,老頑童,0,28,0,900,900,0,0,90,0,-1,-1,0,12,0,0,0,0,7,0,0,0,0,3,0,0,0,1,4000,4000,210,120,210,0,0,0,50,93,73,48,23,42,10,50,0,1,0,34,-1,0,15,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,13,0,-1,-1,3,5,0,0
65,65,0,1,一燈,南帝,0,26,0,900,900,0,0,90,0,-1,-1,0,13,0,0,0,0,8,0,0,0,0,6,0,0,0,1,4000,4000,180,110,200,0,0,0,60,93,75,66,56,55,10,87,0,0,0,60,-1,0,17,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,4,13,1,-1,3,20,6,0
66,66,0,1,小昭,神算子,1,8,100,381,381,0,0,91,0,-1,-1,0,10,0,0,0,0,10,0,0,0,0,2,0,0,0,0,750,750,46,65,54,10,10,10,10,40,11,13,0,30,10,50,0,0,0,90,-1,0,97,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
67,67,0,1,裘千仞,鐵掌幫主,0,25,0,620,620,0,0,90,0,-1,-1,0,15,0,0,0,0,8,0,0,0,0,6,0,0,0,1,2000,2000,180,140,130,0,0,0,50,84,17,12,15,34,10,26,0,0,0,60,-1,0,13,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,4,1,12,11,6,3,10
68,68,0,1,丘處機,長春子,0,21,0,500,500,0,0,90,0,-1,-1,0,0,11,0,0,0,0,6,0,0,0,0,4,0,0,1,1500,1500,150,83,100,0,0,0,30,67,78,30,40,40,10,89,0,0,0,60,-1,0,39,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,3,7,-1,5,5,5,0
69,69,0,1,洪七公,北丐,0,25,0,900,900,0,0,90,0,-1,-1,0,14,0,0,0,0,10,0,0,0,0,5,0,0,0,1,4000,4000,190,110,200,0,0,0,60,99,78,77,87,76,10,70,0,0,0,60,-1,0,26,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,3,1,20,13,5,5,2,5
70,70,0,1,玄慈,少林掌門,0,21,0,800,800,0,0,90,0,-1,-1,0,14,0,0,0,0,7,0,0,0,0,6,0,0,0,1,4000,4000,180,110,200,0,0,0,50,74,70,70,70,50,10,50,0,0,0,60,-1,0,22,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,1,7,4,12,4,4,4,4
71,71,0,1,洪教主,神龍教主,0,25,0,800,800,0,0,90,0,-1,-1,0,0,0,0,13,0,0,0,0,10,0,0,0,0,8,0,4000,4000,160,106,130,0,0,0,60,77,77,77,77,87,10,12,0,0,0,60,-1,0,86,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,1,9,6,35,2,2,2,2
72,72,0,1,田歸農,零捌陸,0,15,300,440,440,0,0,91,0,-1,-1,0,12,12,0,0,0,10,10,0,0,0,0,0,0,0,0,1500,1500,60,60,50,0,0,0,0,0,40,0,0,0,0,50,0,0,0,60,-1,0,28,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0
