编号,物品名,物品名无用1,物品名无用2,物品名无用3,物品名无用4,物品名无用5,物品名无用6,物品名无用7,物品名无用8,物品名无用9,物品名无用10,物品说明,练出武功,暗器动画编号,使用人,装备类型,显示物品说明,物品类型,未知5,未知6,未知7,加生命,加生命最大值,加中毒解毒,加体力,改变内力性质,加内力,加内力最大值,加攻击力,加轻功,加防御力,加医疗,加使毒,加解毒,加抗毒,加拳掌,加御剑,加耍刀,加特殊兵器,加暗器技巧,加武学常识,加品德,加左右互搏,加攻击带毒,仅修炼人物,需内力性质,需内力,需攻击力,需轻功,需用毒,需医疗,需解毒,需拳掌,需御剑,需耍刀,需特殊兵器,需暗器,需资质,需经验,练出物品需经验,需材料,练出物品1,练出物品2,练出物品3,练出物品4,练出物品5,练出物品数量1,练出物品数量2,练出物品数量3,练出物品数量4,练出物品数量5
10,牛黃血蝎丹,-1116,-16202,-6746,-19737,-22876,0,0,0,0,0,中等解毒藥,-1,-1,-1,-1,1,3,1,-1,-1,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
11,六陽正氣丹,-17500,-22602,-16475,-3922,-22876,0,0,0,0,0,高級解毒藥,-1,-1,-1,-1,1,3,1,-1,-1,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
12,精氣丸,-5190,-3922,22948,0,0,0,0,0,0,0,可恢復一些體力,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
13,玉靈散,-13915,18118,-19788,0,0,0,0,0,0,0,可恢復大量體力,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
14,千年靈芝,25764,32422,18118,-9302,0,0,0,0,0,0,可增加生命最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
15,大蟠桃,27300,-12350,-6226,0,0,0,0,0,0,0,可增加內力最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
16,千年人參,25764,32422,18596,-11856,0,0,0,0,0,0,可增加生命及內力最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,50,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
17,天山雪蓮,-11868,29604,-18509,-21315,0,0,0,0,0,0,可增加生命及內力最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,60,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
18,叫化雞,29605,-14684,-1086,0,0,0,0,0,0,0,可稍微增加生命最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
19,好逑湯,28326,31154,-2380,0,0,0,0,0,0,0,名菜，可增加生命最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
20,玉笛誰家聽落梅,-13915,-15438,-10563,25006,-23099,-22344,-2383,0,0,0,名菜，可增加生命最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
21,臘八粥,-16701,19364,-20299,0,0,0,0,0,0,0,可增加生命及內力最大,-1,-1,-1,-1,1,3,1,-1,-1,0,50,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
22,梨花酒,-1615,-7766,29616,0,0,0,0,0,0,0,名酒，可增加內力最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
23,玉露酒,-13915,21445,29616,0,0,0,0,0,0,0,名酒，可增加內力最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
24,即墨老酒,22951,-23106,-11866,29616,0,0,0,0,0,0,名酒，可增加內力最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
25,五寶花蜜酒,-21084,24516,-7766,26043,29616,0,0,0,0,0,名酒，可增加內力最大值,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
26,莽牯朱蛤,-2638,-17748,-18778,-3915,0,0,0,0,0,0,萬毒之王，百毒不侵,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
27,通犀地龍丸,29107,21173,24998,29632,22948,0,0,0,0,0,西毒煉制，百毒不侵,-1,-1,-1,-1,1,3,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
28,飛蝗石,-18259,-16195,-9307,0,0,0,0,0,0,0,最普通的暗器,-1,23,-1,-1,1,4,2,-1,-1,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
29,飛刀,-18259,19876,0,0,0,0,0,0,0,0,飛是小李飛刀的刀,-1,23,-1,-1,1,4,2,-1,-1,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
30,金蛇錐,-2134,17587,16576,0,0,0,0,0,0,0,金蛇郎君成名暗器,-1,3,-1,-1,1,4,2,-1,-1,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,40,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
31,霹靂彈,21189,17862,30140,0,0,0,0,0,0,0,一硫二硝三碳調制而成,-1,4,-1,-1,1,4,2,-1,-1,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
32,毒蒺藜,29356,-20253,-11022,0,0,0,0,0,0,0,球上有刺，刺上有毒,-1,30,-1,-1,1,4,2,-1,-1,-40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,30,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
33,玉蜂針,-13915,-15944,30640,0,0,0,0,0,0,0,古墓派含毒暗器,-1,30,-1,-1,1,4,2,-1,-1,-60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
34,冰魄銀針,17062,31422,-14149,30640,0,0,0,0,0,0,古墓派含毒之暗器,-1,30,-1,-1,1,4,2,-1,-1,-70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,40,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
35,黑血神針,-15690,-6746,-21585,30640,0,0,0,0,0,0,日月神教暗器，含劇毒,-1,30,-1,-1,1,4,2,-1,-1,-80,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,50,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
36,玄鐵劍,-14171,19397,17340,0,0,0,0,0,0,0,玄鐵制成的重劍，好重啊,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,30,-15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,1000,0,0,0,0,0,0,80,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
37,倚天劍,-13651,-11868,17340,0,0,0,0,0,0,0,玄鐵制成，頂級神兵,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,500,0,0,0,0,0,0,80,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
38,周公劍,20649,-16988,17340,0,0,0,0,0,0,0,一把劍,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
39,白龍劍,-10843,29632,17340,0,0,0,0,0,0,0,一把很好的劍,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
40,金蛇劍,-2134,17587,17340,0,0,0,0,0,0,0,一把詭異的劍,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
41,凝碧劍,-20802,-11846,17340,0,0,0,0,0,0,0,一把非常好的劍,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,40,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
42,白虹劍,-10843,27053,17340,0,0,0,0,0,0,0,一把好劍,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
43,屠龍刀,20401,29632,19876,0,0,0,0,0,0,0,武林至尊，寶刀屠龍,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,0,0,0,50,-15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,1000,0,0,0,0,0,0,0,80,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
44,血刀,-6746,19876,0,0,0,0,0,0,0,0,鋒利的刀，嗜血的刀,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
45,冷月寶刀,20135,-5212,24516,19876,0,0,0,0,0,0,一把非常好的刀,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
46,綠波香露刀,-3654,27050,-17491,21445,19876,0,0,0,0,0,一把很好的刀,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
47,金刀,-2134,19876,0,0,0,0,0,0,0,0,一把好刀,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
48,雁翎刀,-21066,-8526,19876,0,0,0,0,0,0,0,一把刀,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
49,打狗棒,-19291,-20566,-12620,0,0,0,0,0,0,0,丐幫幫主的象征,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
50,伏魔杵,-3675,24005,21418,0,0,0,0,0,0,0,其實就是一根很沉的棍子,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,30,-10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,40,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
51,金龍鞭,-2134,29632,16579,0,0,0,0,0,0,0,金龍幫鎮幫之寶,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
52,鱷嘴剪,29638,19644,-14928,0,0,0,0,0,0,0,岳老三慣用兵器,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
53,判官筆,20647,30889,-22603,0,0,0,0,0,0,0,一寸短，一寸險,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
54,亮銀槍,18347,-14149,27322,0,0,0,0,0,0,0,一寸長，一寸強,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,20,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
55,神山劍,-21585,29604,17340,0,0,0,0,0,0,0,小小豬獨門兵器,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,100,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
56,玄鐵菜刀,-14171,19397,-6475,19876,0,0,0,0,0,0,正面旺德福，反面泰瑞寶,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
57,犽月,25291,-5212,0,0,0,0,0,0,0,0,柳無色的兵器,-1,-1,-1,0,1,1,1,-1,-1,0,0,0,0,-1,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
58,軟蝟甲,28339,-19481,-11611,0,0,0,0,0,0,0,桃花島至寶,-1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,-1,0,0,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
59,烏蠶衣,20911,-1339,-6234,0,0,0,0,0,0,0,可增加防御,-1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,-1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
60,金絲背心,-2134,-18507,18861,-8284,0,0,0,0,0,0,可增加防御,-1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,-1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
61,鱷皮護甲,29638,-10587,16581,-11611,0,0,0,0,0,0,可增加防御,-1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,-1,0,0,0,0,30,0,0,0,0,7,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
62,佛心甲,-3418,-8284,-11611,0,0,0,0,0,0,0,可增加防御,-1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,-1,0,0,0,0,20,0,0,0,0,8,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
63,皮衣,-10587,-6234,0,0,0,0,0,0,0,0,這個也能增加防御嗎？,-1,-1,-1,1,1,1,1,-1,-1,0,0,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
64,北冥神功,24485,-8275,-21585,23717,0,0,0,0,0,0,可吸敵人內力化為己用,85,-1,-1,-1,1,2,1,-1,-1,0,0,0,0,2,0,50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,50,300,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
65,吸星大法,27815,20652,27300,27562,0,0,0,0,0,0,我吸，我吸，我吸吸吸,88,-1,-1,-1,1,2,1,-1,-1,0,0,0,0,2,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,200,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
66,化功大法,-14684,23717,27300,27562,0,0,0,0,0,0,可化人內力的毒功,87,-1,-1,-1,1,2,1,-1,-1,0,0,0,0,-1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,250,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
67,紫霞秘笈,-19019,-1855,-19025,17619,0,0,0,0,0,0,華山派氣功,89,-1,-1,-1,1,2,1,-1,-1,0,10,0,0,-1,0,70,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,300,0,0,0,0,0,0,0,0,0,0,0,130,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
68,混元功法,22194,-18268,23717,27562,0,0,0,0,0,0,可以練出混元功,90,-1,-1,-1,1,2,1,-1,-1,0,5,0,0,-1,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,300,0,0,0,0,0,0,0,0,0,0,0,130,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
69,獅吼功法,-8009,29095,23717,27562,0,0,0,0,0,0,路見不平一聲獅子吼,92,-1,-1,-1,1,2,1,-1,-1,0,5,0,0,-1,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,400,0,0,0,0,0,0,0,0,0,0,0,150,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
70,圣火神功,28617,-2652,-21585,23717,0,0,0,0,0,0,圣火令上所載的奇異武功,93,-1,-1,-1,1,2,1,-1,-1,0,0,0,0,-1,0,40,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,450,0,0,0,0,0,0,0,0,0,0,50,160,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
71,神照經,-21585,-11337,26552,0,0,0,0,0,0,0,有神照著，還怕啥！,94,-1,-1,-1,1,2,1,-1,-1,0,25,0,0,-1,0,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,500,0,0,0,0,0,0,0,0,0,0,0,170,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
72,十八泥偶,20900,19364,25770,-18256,0,0,0,0,0,0,這個東西不能調和陰陽,96,-1,-1,-1,1,2,1,-1,-1,0,10,0,0,-1,0,60,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,550,0,0,0,0,0,0,0,0,0,0,0,180,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
73,蛤蟆功法,-3915,-20287,23717,27562,0,0,0,0,0,0,四肢著地，兩腮鼓起，呱,95,-1,-1,-1,1,2,1,-1,-1,0,5,0,0,-1,0,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,700,0,0,0,0,0,0,0,0,0,0,50,190,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0
